iter	Passed	Remaining
0	147	147800
1	149	74692
2	151	50304
3	152	38095
4	154	30839
5	156	25985
6	158	22529
7	160	19933
8	163	18048
9	165	16390
10	167	15057
11	169	13955
12	171	13019
13	173	12186
14	174	11488
15	177	10893
16	179	10351
17	180	9856
18	182	9420
19	184	9042
20	186	8683
21	188	8358
22	190	8072
23	192	7814
24	194	7566
25	195	7328
26	197	7102
27	198	6904
28	200	6712
29	202	6547
30	203	6372
31	205	6214
32	208	6106
33	209	5957
34	211	5821
35	212	5690
36	213	5565
37	215	5461
38	217	5357
39	218	5251
40	220	5158
41	222	5070
42	223	4975
43	224	4887
44	226	4799
45	227	4721
46	228	4641
47	230	4570
48	231	4500
49	233	4430
50	234	4361
51	235	4295
52	237	4237
53	238	4174
54	239	4116
55	240	4059
56	242	4006
57	243	3951
58	244	3900
59	246	3860
60	247	3812
61	248	3765
62	250	3719
63	251	3676
64	252	3637
65	254	3598
66	255	3558
67	256	3512
68	257	3473
69	259	3441
70	260	3409
71	261	3373
72	262	3337
73	264	3305
74	265	3273
75	266	3239
76	268	3214
77	269	3190
78	271	3162
79	272	3132
80	273	3104
81	275	3081
82	276	3054
83	277	3030
84	278	2999
85	279	2972
86	280	2943
87	282	2922
88	283	2900
89	284	2878
90	285	2854
91	287	2832
92	288	2811
93	289	2793
94	291	2777
95	292	2758
96	294	2741
97	296	2725
98	297	2711
99	299	2695
100	301	2679
101	301	2655
102	303	2639
103	305	2629
104	306	2616
105	308	2602
106	310	2590
107	311	2573
108	313	2561
109	314	2546
110	315	2529
111	317	2513
112	318	2498
113	319	2482
114	321	2470
115	321	2452
116	323	2438
117	324	2423
118	325	2406
119	326	2395
120	328	2384
121	329	2371
122	330	2353
123	331	2340
124	332	2328
125	334	2317
126	335	2306
127	336	2289
128	337	2280
129	339	2270
130	340	2259
131	341	2247
132	343	2236
133	344	2226
134	345	2215
135	347	2206
136	348	2195
137	349	2182
138	350	2171
139	352	2164
140	353	2154
141	354	2144
142	356	2134
143	357	2124
144	359	2117
145	360	2108
146	361	2098
147	362	2089
148	364	2079
149	365	2072
150	367	2064
151	368	2055
152	369	2046
153	370	2037
154	372	2029
155	373	2022
156	375	2018
157	377	2010
158	378	2000
159	379	1993
160	380	1984
161	382	1976
162	383	1969
163	384	1961
164	385	1952
165	387	1944
166	388	1937
167	390	1932
168	392	1928
169	393	1922
170	396	1919
171	397	1915
172	399	1909
173	401	1904
174	402	1897
175	404	1893
176	406	1888
177	408	1886
178	410	1881
179	411	1876
180	412	1867
181	413	1859
182	414	1852
183	416	1845
184	417	1838
185	419	1834
186	420	1827
187	421	1821
188	422	1814
189	424	1808
190	425	1801
191	427	1798
192	428	1792
193	430	1787
194	431	1782
195	433	1779
196	435	1776
197	437	1771
198	438	1766
199	440	1761
200	441	1756
201	443	1750
202	444	1743
203	445	1738
204	446	1733
205	448	1728
206	450	1725
207	451	1719
208	452	1714
209	454	1708
210	455	1702
211	456	1697
212	457	1692
213	459	1686
214	460	1680
215	461	1676
216	464	1675
217	465	1669
218	466	1663
219	467	1659
220	469	1654
221	470	1649
222	472	1644
223	473	1639
224	474	1633
225	475	1629
226	477	1625
227	478	1621
228	480	1616
229	481	1612
230	482	1607
231	483	1602
232	485	1597
233	486	1593
234	487	1588
235	489	1583
236	490	1578
237	491	1573
238	492	1568
239	494	1565
240	495	1560
241	496	1556
242	498	1551
243	499	1546
244	500	1541
245	501	1538
246	503	1533
247	504	1528
248	505	1524
249	506	1520
250	507	1515
251	509	1512
252	510	1507
253	511	1503
254	512	1498
255	514	1494
256	515	1491
257	517	1487
258	518	1483
259	519	1479
260	520	1475
261	522	1470
262	523	1466
263	524	1461
264	526	1459
265	527	1456
266	529	1453
267	532	1454
268	534	1451
269	535	1447
270	536	1443
271	538	1440
272	539	1437
273	541	1433
274	542	1429
275	543	1425
276	544	1421
277	545	1417
278	547	1415
279	549	1412
280	550	1409
281	552	1406
282	553	1403
283	554	1399
284	556	1395
285	557	1392
286	558	1388
287	560	1384
288	561	1381
289	562	1378
290	564	1374
291	565	1370
292	566	1367
293	568	1365
294	569	1361
295	570	1357
296	572	1354
297	573	1350
298	574	1347
299	575	1343
300	577	1341
301	579	1338
302	580	1336
303	582	1333
304	584	1330
305	586	1329
306	587	1325
307	588	1322
308	590	1320
309	592	1318
310	593	1315
311	595	1312
312	596	1309
313	598	1307
314	599	1304
315	601	1302
316	603	1299
317	604	1296
318	606	1295
319	607	1291
320	609	1289
321	610	1286
322	613	1285
323	615	1283
324	616	1280
325	618	1278
326	620	1277
327	622	1274
328	623	1271
329	624	1268
330	626	1266
331	628	1264
332	629	1261
333	632	1260
334	633	1258
335	635	1256
336	637	1254
337	639	1252
338	640	1249
339	642	1247
340	644	1245
341	645	1242
342	647	1239
343	648	1237
344	650	1235
345	652	1233
346	654	1232
347	656	1230
348	658	1229
349	660	1226
350	663	1226
351	665	1225
352	668	1224
353	670	1223
354	672	1221
355	674	1219
356	676	1217
357	677	1215
358	679	1214
359	681	1212
360	683	1209
361	684	1206
362	685	1203
363	687	1201
364	689	1200
365	691	1197
366	693	1195
367	695	1194
368	698	1193
369	700	1192
370	701	1189
371	704	1188
372	705	1186
373	707	1184
374	708	1181
375	710	1179
376	712	1177
377	713	1174
378	714	1171
379	716	1168
380	718	1166
381	720	1165
382	722	1163
383	724	1162
384	726	1160
385	727	1157
386	729	1155
387	730	1152
388	732	1150
389	734	1148
390	735	1145
391	736	1143
392	738	1140
393	740	1138
394	741	1135
395	743	1133
396	744	1130
397	745	1127
398	746	1124
399	748	1122
400	749	1120
401	750	1117
402	752	1114
403	753	1111
404	755	1109
405	756	1106
406	757	1104
407	759	1101
408	760	1098
409	762	1097
410	763	1094
411	765	1092
412	766	1089
413	767	1086
414	769	1084
415	770	1082
416	772	1079
417	774	1077
418	775	1075
419	779	1075
420	780	1073
421	781	1070
422	782	1068
423	784	1065
424	786	1064
425	788	1061
426	790	1060
427	792	1058
428	793	1056
429	794	1053
430	796	1051
431	797	1048
432	799	1046
433	800	1044
434	802	1042
435	803	1040
436	805	1037
437	807	1035
438	808	1033
439	809	1030
440	811	1028
441	812	1025
442	813	1023
443	815	1021
444	817	1019
445	819	1017
446	821	1016
447	823	1014
448	824	1011
449	825	1009
450	826	1006
451	828	1004
452	830	1002
453	831	999
454	832	997
455	833	994
456	835	992
457	836	990
458	838	987
459	839	985
460	841	983
461	842	980
462	843	978
463	844	975
464	846	973
